,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200
1415,RYHOX,Rydex NASDAQ-100 Fund Class H,43.7,-0.27,-0.12,45.22,32.48,41.44,40.358234
1416,ABSRX,AB Discovery Value Fund Class R,14.62,-2.34,-0.35,19.7,10.24,13.274706,16.36081
1417,FTIRX,Fidelity Advisor Simplicity RMD 2010 Fund Class M,53.7,0.13,0.07,53.82,52.35,53.7,53.7
1418,SEVIX,SEI Institutional Managed Trust U.S. Managed Volatility Fund Class I,15.55,0.0,0.0,18.39,12.11,14.901176,16.548603
1419,NCBVX,PGIM QMA Mid-Cap Value Fund- Class C,10.81,-2.44,-0.270001,15.9,7.43,9.782941,12.778529
1420,SGIIX,First Eagle Global Fund Class I,53.07,-0.02,-0.009998,61.23,42.39,50.783825,54.42228
1421,RMBFX,RMB Mendon Financial Long/Short Fund Class A,6.33,-2.31,-0.15,16.06,5.33,5.855882,11.639192
1422,FTISX,Fidelity Advisor International Small Cap Fund Class M,22.51,0.81,0.18,27.56,17.45,21.10853,24.110294
1423,SIBAX,Sit Balanced Fund,25.7,-0.04,-0.010001,26.73,20.72,24.577942,24.99669
1424,HSPCX,Emerald Growth Fund Class C,21.02,-1.78,-0.38,23.28,13.62,18.888529,20.098087
1425,HSVRX,Harbor Small Cap Value Fund Administrative Class,29.36,-2.1,-0.63,35.67,20.62,26.666176,30.645882
1426,RBRCX,RBC Small Cap Core Fund Class R6,26.97,-2.53,-0.7,33.9,17.66,23.885588,28.084558
1427,VMNVX,Vanguard Global Minimum Volatility Fund Admiral Shares,25.45,0.43,0.11,30.35,20.3,24.579706,27.193161
1428,MIPIX,Matthews Asia Dividend Fund Institutional Class,15.78,-0.19,-0.029999,17.95,12.71,15.166765,16.131618
1429,WMMAX,TETON Westwood Mighty Mites Fund Class A,19.93,-2.16,-0.44,25.63,15.17,18.22647,21.836103
1430,FBGKX,Fidelity Blue Chip Growth Fund Class K,117.34,-0.53,-0.62999,120.9,81.9,108.515,106.10095
1431,PASVX,T. Rowe Price Small-Cap Value Fund Advisor Class,38.76,-1.87,-0.74,49.24,28.52,35.459705,41.926544
1432,HNVRX,Harbor Small Cap Value Fund Retirement Class,29.55,-2.12,-0.639999,35.86,20.74,26.833529,30.832426
1433,FMIJX,FMI International Fund Investor Class,25.64,0.04,0.01,32.96,20.59,24.389706,28.6675
1434,JHQPX,JPMorgan Hedged Equity Fund Class R5,21.76,-0.18,-0.040001,22.0,17.86,21.27,21.018677
1435,PARWX,Parnassus Endeavor Fund Investor Shares,33.31,-2.74,-0.94,40.18,25.23,31.273235,34.81316
1436,FAIGX,Fidelity Advisor Balanced Fund Class M,22.29,-0.31,-0.07,23.73,17.46,21.188236,21.76375
1437,NEAGX,Needham Aggressive Growth Fund Retail Class,22.63,-1.74,-0.399999,23.34,15.83,20.900589,20.859045
1438,FAMVX,FAM Value Fund Investor Class,71.64,-0.49,-0.35,86.65,52.67,67.05647,75.11963
1439,CAMIX,Cambiar International Equity Fund Investor Class,21.84,1.96,0.42,27.69,17.0,20.35,23.620148
1440,CTFAX,Columbia Thermostat Fund Class A,17.1,-0.06,-0.01,17.11,13.83,16.564411,15.630294
1441,VWIAX,Vanguard Wellesley Income Fund Admiral Shares,65.45,0.14,0.09,67.9,55.62,63.740295,64.92081
1442,FURIX,Fidelity Advisor Simplicity RMD 2015 Fund Class I,59.77,0.18,0.11,59.88,57.89,59.77,59.77
1443,HCAIX,Harbor Capital Appreciation Fund Investor Class,78.38,0.2,0.16001,81.71,56.13,73.10323,72.60117
1444,TAREX,Third Avenue Real Estate Value Fund Institutional Class,19.57,-1.21,-0.24,29.36,15.09,19.089706,23.204706
1445,SVFKX,Smead Value Fund Class R2,42.07,-2.03,-0.87,52.91,31.24,39.283825,45.32669
1446,TEGAX,Touchstone Mid Cap Growth Fund Class A,31.23,0.22,0.07,34.75,21.28,28.449411,30.310074
1447,NWQCX,Nuveen NWQ Flexible Income Fund Class C,20.59,0.34,0.07,22.55,17.09,20.040295,21.14397
1448,LDVAX,Leland Thomson Reuters Venture Capital Index Fund Class A,23.64,0.55,0.13,25.89,15.83,21.64206,21.297573
1449,TIBGX,Thornburg Investment Income Builder Fund Class R4,18.43,0.05,0.01,23.01,14.81,17.52353,20.204266
1450,VEVCX,Victory Sycamore Established Value Fund Class C,32.98,-1.2,-0.4,40.64,23.32,30.138824,34.851765
1451,PASSX,T. Rowe Price Small-Cap Stock Fund Advisor Class,46.73,-1.35,-0.64,53.76,33.25,42.69294,47.28515
1452,POGRX,PRIMECAP Odyssey Growth Fund,36.67,-0.92,-0.34,42.65,27.41,34.41853,37.644558
1453,JDMNX,Janus Henderson Enterprise Fund Class N,133.11,-0.16,-0.21,149.8,92.52,122.62088,132.92508
1454,ROGSX,Red Oak Technology Select Fund,31.36,-0.6,-0.190001,33.29,23.45,29.712646,30.018896
1455,NSCFX,Nuveen NWQ Small-Cap Value Fund Class R6,35.96,-2.73,-1.009997,48.49,26.04,32.699413,39.79066
1456,RAAIX,Altegris/AACA Opportunistic Real Estate Fund I,17.98,0.39,0.07,20.18,12.51,16.964706,17.53
1457,SXMAX,SEI Asset Allocation Trust Moderate Strategy Allocation Fund Class F,17.48,0.17,0.030001,21.46,14.29,16.77853,18.916323
1458,VIISX,Virtus KAR International Small-Cap Fund Class I,16.98,0.77,0.13,19.37,12.07,15.392058,17.060146
1459,PFPRX,Parnassus Fund Institutional Shares,48.42,0.96,0.46,53.57,35.08,44.899117,47.564705
1460,PEXMX,T. Rowe Price Extended Equity Market Index Fund,26.4,-1.38,-0.37,30.77,18.07,23.884117,26.623823
1461,TGGCX,Touchstone International Growth Opportunities Fund Class C,20.39,0.54,0.110001,22.81,15.58,19.219706,20.416103
1462,TMSIX,Thrivent Mid Cap Stock Fund Class S,24.68,-0.68,-0.17,28.95,17.18,22.298235,25.091839
1463,PBFBX,PGIM Balanced Fund- Class B,15.12,-0.33,-0.05,16.62,12.19,14.479412,15.340074
1464,JDVSX,JPMorgan Diversified Fund Class I,15.24,0.07,0.01,17.31,12.43,14.565883,15.583383
1465,NVSCX,Wells Fargo Small Company Growth Fund - Class Admin,48.69,-1.68,-0.83,57.46,32.52,44.03412,49.135883
1466,IILGX,Thrivent Global Stock Fund Class S,22.34,-0.13,-0.03,27.36,16.48,20.914412,23.183603
1467,TGCNX,TCW Select Equities Fund Class N,26.32,0.61,0.16,26.79,18.56,24.157648,24.24294
1468,NSCRX,Nuveen NWQ Small-Cap Value Fund Class I,35.52,-2.74,-1.0,47.88,25.74,32.303528,39.314266
1469,PARFX,T. Rowe Price Retirement 2050 Fund Advisor Class,14.34,0.0,0.0,16.26,10.81,13.484706,14.548897
1470,GILCX,Guggenheim Large Cap Value Fund Class Institutional,36.4,-1.11,-0.41,46.61,27.0,34.361767,39.177353
1471,JGMRX,Janus Henderson Triton Fund Class R,26.5,-0.71,-0.19,30.72,17.99,24.105,26.526764
1472,GSXCX,Aberdeen U.S. Small Cap Equity Fund Class C,25.51,-1.81,-0.47,29.01,17.83,22.683823,24.900808
1473,NQWFX,Nuveen NWQ Flexible Income Fund Class R6,20.76,0.29,0.06,22.75,17.24,20.212353,21.326838
1474,SGTTX,Columbia Seligman Global Technology Fund Institutional 2 Class,44.9,-1.92,-0.880003,49.4,31.23,42.07794,43.896545
1475,CBAIX,Calvert Balanced Fund Class I,34.85,0.14,0.05,37.24,28.39,33.56853,34.56816
1476,JLVMX,JPMorgan Large Cap Value Fund Class R6,12.45,-1.89,-0.24,15.52,8.82,11.430294,13.289044
1477,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,24.59,-1.17,-0.290001,25.8,21.95,24.031765,24.341324
1478,PARAX,T. Rowe Price Retirement 2010 Fund Advisor Class,17.42,0.0,0.0,18.65,14.73,16.805882,17.444706
1479,FOSFX,Fidelity Overseas Fund,47.77,1.47,0.69,52.91,35.7,44.37294,47.612793
1480,FALAX,Fidelity Advisor Large Cap Fund Class A,26.58,-1.12,-0.3,33.79,19.79,24.98853,28.423824
1481,CAGIX,Calvert Growth Allocation Fund Class I,19.9,0.05,0.01,22.36,14.96,18.737942,20.107132
1482,DHROX,Diamond Hill Research Opportunities Fund Class A,19.97,-0.89,-0.18,24.38,14.86,18.649706,21.101912
1483,VDIGX,Vanguard Dividend Growth Fund Investor Shares,28.72,0.45,0.13,31.9,21.38,27.199411,28.923235
1484,BPTRX,Baron Partners Fund Retail Shares,72.32,-1.65,-1.21,90.32,44.02,65.97823,68.04875
1485,GTCSX,Glenmede Small Cap Equity Portfolio Class Advisor,21.17,-2.53,-0.55,26.64,14.08,18.646177,22.167131
1486,FHCCX,Fidelity Advisor Health Care Fund Class C,45.69,1.24,0.560003,45.93,32.67,43.790295,42.169044
1487,LYRIX,Lyrical U.S. Value Equity Fund Institutional Class,12.7,-2.08,-0.27,16.91,7.93,11.400588,13.898897
1488,FNORX,Fidelity Nordic Fund,45.89,2.11,0.95,49.23,32.42,41.648823,44.451546
1489,NGPAX,Columbia Global Strategic Equity Fund Institutional Class,14.61,0.07,0.010001,16.37,11.03,13.746177,14.745955
1490,MECIX,AMG Managers Cadence Emerging Companies Fund - Class I,45.18,-2.1,-0.97,57.06,31.2,41.77441,48.45338
1491,TRSAX,T. Rowe Price Growth Stock Fund Advisor Class,74.11,0.04,0.03,78.73,53.35,69.10853,69.548454
1492,GURAX,Guggenheim Risk Managed Real Estate Fund Class A,29.47,1.03,0.3,35.12,23.41,28.509706,31.244705
1493,IWIRX,Guinness Atkinson Global Innovators Fund Investor Class,45.54,-0.02,-0.01,48.6,33.28,42.893234,43.939705
1494,PARBX,T. Rowe Price Retirement 2020 Fund Advisor Class,20.96,0.0,0.0,22.98,17.1,20.08147,21.11022
1495,NLIGX,Nuveen Large Cap Growth Fund Class I,26.15,-0.61,-0.16,29.15,18.7,24.456764,25.969633
1496,JIGZX,JPMorgan Intrepid Growth Fund Class R2,53.67,-0.33,-0.18,59.17,39.22,50.810295,52.34728
1497,WIGTX,Seven Canyons World Innovators Fund Institutional Class,18.28,-0.16,-0.030001,18.31,11.51,16.157059,16.357279
1498,SIIEX,Touchstone International Equity Fund Class Y,13.55,0.3,0.04,16.05,10.28,12.73647,14.15603
1499,FALIX,Fidelity Advisor Large Cap Fund Class I,28.17,-1.12,-0.32,35.68,20.97,26.481764,30.08103
1500,FERIX,Fidelity Advisor Emerging Asia Fund I Class,42.2,-0.35,-0.150002,44.34,33.48,40.729412,40.907867
1501,RYVLX,Rydex NASDAQ-100 2x Strategy Fund Class A,201.77,-0.5,-1.02001,236.97,114.72,182.2747,184.82455
1502,SECEX,Guggenheim StylePlus - Large Core Fund Class A,20.42,-0.2,-0.040001,22.93,14.77,19.20353,20.42978
1503,CFWCX,Calvert Global Water Fund Class C,17.96,-0.39,-0.069999,21.15,13.47,16.709118,18.582354
1504,FIXIX,Fidelity Advisor International Small Cap Fund Class I,23.2,0.83,0.19,28.34,17.96,21.748236,24.826986
