,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200
1247,BPSCX,Boston Partners Small Cap Value Fund II Investor Class,17.87,-2.67,-0.49,24.81,12.95,16.092941,20.623604
1248,RYHGX,Rydex High Yield Strategy Fund Class H,22.53,0.31,0.069999,25.53,19.83,22.018236,23.633383
1249,FAMRX,Fidelity Asset Manager 85% Fund,18.92,0.05,0.01,21.24,14.38,17.809412,19.00375
1250,ACDHX,AC Alternatives Disciplined Long Short Fund C Class,16.3,-0.06,-0.01,16.31,15.44,16.3,16.025686
1251,ADGKX,AB Core Opportunities Fund Class K,19.42,-0.05,-0.01,21.37,14.47,18.325,19.319927
1252,UBVSX,Undiscovered Managers Behavioral Value Fund Class I,43.91,-3.32,-1.51,64.67,31.2,39.431175,51.665367
1253,PRGTX,T. Rowe Price Global Technology Fund,18.47,0.05,0.01,18.74,13.13,17.225883,16.507353
1254,HFCSX,Hennessy Focus Fund Investor Class,69.38,-0.77,-0.54,89.14,45.15,62.67,73.276474
1255,TILRX,TIAA-CREF Large-Cap Growth Fund Retirement Class,23.27,0.26,0.059999,24.11,16.88,21.786764,21.499632
1256,NWJFX,Nationwide Ziegler NYSE Arca Tech 100 Index Fund Institutional Service Class,96.94,0.06,0.059995,105.38,72.33,91.70088,94.448456
1257,HSPGX,Emerald Growth Fund Class A,25.57,-1.77,-0.459999,28.28,16.55,22.971176,24.393162
1258,DHLSX,Diamond Hill Long Short Fund Class I,23.22,-1.07,-0.25,28.47,18.64,21.989706,24.676104
1259,FSTBX,Federated Global Allocation Fund Class A Shares,18.93,0.26,0.049999,20.41,15.17,17.981176,18.915295
1260,VGSAX,Virtus Duff & Phelps Global Real Estate Securities Fund Class A,27.94,0.87,0.24,35.91,20.96,26.505295,31.031984
1261,NWKEX,Nationwide WCM Focused Small Cap Fund Class R6,20.7,-2.36,-0.5,27.12,14.55,18.513529,22.777353
1262,FESOX,First Eagle Overseas Fund Class C,21.0,0.43,0.09,24.1,17.39,20.247059,21.591103
1263,WPSIX,AB Concentrated Growth Fund Class I,42.58,-0.42,-0.180002,46.47,29.64,39.61735,41.285442
1264,SSPIX,SEI Institutional Managed Trust S&P 500 Index Fund Class F,68.05,-0.19,-0.13,76.16,50.4,64.315,68.0575
1265,SMGIX,Columbia Contrarian Core Fund Institutional Class,26.02,0.0,0.0,28.35,19.15,24.596766,25.608677
1266,FGDKX,Fidelity Growth Discovery Fund Class K,42.17,-0.02,-0.009996,43.94,30.28,39.349705,38.96647
1267,AKREX,Akre Focus Fund Retail Class,47.33,0.96,0.45,48.85,33.78,43.76353,44.165
1268,TIBRX,Thornburg Investment Income Builder Fund Class R3,18.41,0.11,0.02,22.98,14.79,17.499413,20.177279
1269,SIUPX,Guggenheim Investment Grade Bond Fund Class P,19.76,0.1,0.02,19.92,18.68,19.511765,19.121471
1270,OTIIX,T. Rowe Price Small-Cap Stock Fund I Class,47.28,-1.36,-0.65,54.48,33.62,43.188824,47.82456
1271,HHHSX,Hartford Schroders Emerging Markets Equity Fund Class R4,14.13,-0.77,-0.11,17.28,11.7,13.707353,15.109264
1272,RRTPX,T. Rowe Price Retirement 2035 Fund Class R,17.48,-0.06,-0.01,19.59,13.48,16.532059,17.687426
1273,HAFCX,Hartford Multi-Asset Income and Growth Fund Class C,19.15,-0.31,-0.06,23.53,16.77,18.692648,20.23669
1274,FZAHX,Fidelity Advisor Growth Opportunities Fund Class Z,107.02,-0.45,-0.48,109.4,72.58,98.60794,96.63544
1275,WESJX,William Blair Emerging Markets Small Cap Growth Fund R6 Class,15.92,-0.5,-0.08,17.94,11.95,15.116177,15.9190445
1276,PAWAX,T. Rowe Price New America Growth Fund Advisor Class,56.31,-0.02,-0.01,58.53,40.67,52.780296,52.79956
1277,BSPAX,iShares S&P 500 Index Fund Investor A Shares,359.66,-0.19,-0.70002,401.77,266.12,339.97205,357.7256
1278,JIGAX,JPMorgan Intrepid Growth Fund Class A,55.15,-0.33,-0.18,60.66,40.28,52.20294,53.747353
1279,MIGPX,"Morgan Stanley Institutional Fund, Inc. Global Advantage Portfolio Class A",21.15,0.62,0.13,21.33,13.72,18.647058,17.695
1280,BPTUX,Baron Partners Fund R6 Shares,74.26,-1.64,-1.24,92.67,45.17,67.73118,69.81875
1281,VIMCX,Virtus KAR Mid-Cap Core Fund Class I,37.54,0.08,0.029998,40.83,26.98,34.213234,36.074043
1282,PTEZX,PGIM QMA Large-Cap Core Equity Fund- Class Z,14.72,-0.54,-0.08,16.69,10.65,13.787059,14.863309
1283,VGIAX,Vanguard Growth and Income Fund Admiral Shares,79.77,-0.25,-0.19999,88.82,58.33,75.33912,79.65
1284,BPLEX,Boston Partners Long/Short Equity Fund Investor Class,13.67,-1.16,-0.16,17.09,10.99,12.998529,14.341911
1285,SCUVX,Hartford Schroders US Small Cap Opportunities Fund Class A,21.03,-1.5,-0.32,26.82,15.23,19.17,22.798603
1286,HLEMX,Harding Loevner Emerging Markets Portfolio Advisor Class,46.63,-0.36,-0.17,61.6,38.94,45.39206,52.357132
1287,FMCKX,Fidelity Advisor Emerging Markets Fund Class C,23.22,-0.26,-0.059999,28.23,18.72,22.42647,24.177353
1288,SEUPX,Guggenheim StylePlus - Mid Growth Fund Class P,39.98,-0.1,-0.04,43.7,26.85,36.445293,38.60728
1289,PRJIX,T. Rowe Price New Horizons Fund I Class,67.07,0.57,0.38,66.69,45.89,61.04206,60.55978
1290,FIASX,Fidelity Advisor International Small Cap Fund Class A,22.6,0.8,0.18,27.64,17.51,21.187647,24.194706
1291,ASDEX,American Century Select Fund R6 Class,85.77,0.25,0.21,89.39,61.76,80.26235,80.485664
1292,SGOAX,SEI Asset Allocation Trust Market Growth Strategy Allocation Fund Class F,22.55,-0.18,-0.04,25.85,16.93,21.150295,23.187721
1293,SEMCX,SEI Institutional Managed Trust Mid-Cap Portfolio Fund Class F,21.95,-0.95,-0.21,26.65,15.4,20.128529,23.14022
1294,WAAEX,Wasatch Small Cap Growth Fund Investor Class,39.62,-1.76,-0.709998,44.19,25.68,34.700882,37.53125
1295,FSAIX,Fidelity Select Portfolios Air Transportation Portfolio,44.97,-1.45,-0.66,81.02,35.82,40.76647,60.76985
1296,PAMCX,T. Rowe Price Mid-Cap Growth Fund Advisor Class,87.85,0.21,0.18,95.61,61.2,80.62706,85.94706
1297,TFESX,Templeton Institutional Fund International Equity Series Service Shares,13.07,0.93,0.12,16.48,10.47,12.498823,14.2075
1298,GMDFX,GMO Emerging Country Debt Fund Class IV,24.9,-0.12,-0.03,28.11,22.27,23.789118,25.938162
1299,CBMSX,Wells Fargo C&B Mid Cap Value Fund - Class Inst,33.11,-2.3,-0.78,42.48,23.38,30.137648,36.338528
1300,FDVIX,Fidelity Advisor Diversified International Fund I Class,23.01,1.41,0.32,25.4,17.27,21.510883,22.925661
1301,GRMIX,Nationwide S&P 500 Index Fund Class R6,15.21,-0.2,-0.03,16.97,11.19,14.374118,15.247941
1302,TRSGX,T. Rowe Price Spectrum Moderate Growth Allocation Fund,33.48,-0.06,-0.02,37.1,26.11,31.71353,33.705
1303,DGLCX,BNY Mellon Global Stock Fund - Class C,20.96,0.96,0.200002,23.06,16.07,19.864412,20.871325
1304,TIDDX,T. Rowe Price International Discovery Fund I Class,67.33,0.45,0.3,70.87,47.32,61.29559,63.69728
1305,PABFX,PGIM Balanced Fund- Class Z,15.17,-0.26,-0.04,16.65,12.21,14.515588,15.367941
1306,IHAYX,Hartford Multi-Asset Income and Growth Fund Class Y,19.45,-0.46,-0.09,23.87,17.05,19.002647,20.562647
1307,NHMFX,Nuveen High Yield Municipal Bond Fund Class R6,16.33,0.18,0.03,18.84,14.64,15.966764,17.338015
1308,SABTX,SA U.S. Value Fund Investor Class,14.29,-1.45,-0.21,18.58,10.44,13.360882,15.689853
1309,FIRRX,Fidelity Simplicity RMD 2010 Fund,53.28,0.04,0.02,55.03,48.22,52.18294,53.18544
1310,RBAIX,T. Rowe Price Balanced I Class,23.79,0.08,0.02,25.74,19.18,22.720589,23.76603
1311,JLVZX,JPMorgan Large Cap Value Fund Class R2,12.51,-1.88,-0.24,15.6,8.85,11.489412,13.350294
1312,VTMFX,Vanguard Tax-Managed Balanced Fund Admiral Shares,33.53,-0.09,-0.029998,35.44,27.69,32.27559,33.15816
1313,CDOCX,Crawford Small Cap Dividend Fund Class C,38.35,-1.26,-0.49,43.59,38.35,38.35,41.87575
1314,FIIVX,Fidelity Advisor Managed Retirement 2020 Fund Class I,50.96,-0.02,-0.009997,53.69,44.77,49.504414,51.031178
1315,VWELX,Vanguard Wellington Fund Investor Shares,41.07,0.0,0.0,44.65,33.06,39.65,41.54162
1316,MMCFX,AMG Managers Emerging Opportunities Fund Class N,33.72,-2.2,-0.76,43.29,22.75,30.204412,35.581028
1317,TSAGX,Touchstone Large Company Growth Fund Class A,44.84,0.31,0.14,47.55,33.37,42.582058,42.81919
1318,VQNPX,Vanguard Growth and Income Fund Investor Shares,48.85,-0.27,-0.13,54.41,35.73,46.144707,48.79081
1319,RRBGX,T. Rowe Price Blue Chip Growth Fund Class R,122.92,0.07,0.08,128.68,89.01,115.55912,114.36265
1320,CCALX,Conestoga Small Cap Institutional Class,58.83,-1.74,-1.040003,63.76,43.24,52.96794,56.66919
1321,BTIEX,DWS Equity 500 Index Fund - Class S,182.71,-0.2,-0.36,210.02,135.31,172.68323,185.05118
1322,FSPTX,Fidelity Select Technology Portfolio,20.92,-0.24,-0.05,22.54,15.46,19.451471,19.594486
1323,BIIEX,Brandes International Equity Fund Class I,12.97,-0.08,-0.0100005,17.48,10.36,12.170882,14.772794
1324,GQETX,GMO Quality Fund Class III,23.76,0.0,0.0,26.04,17.96,22.606764,23.690956
1325,HLMVX,Harding Loevner Global Equity Portfolio Institutional Class,37.63,0.53,0.2,39.25,27.5,34.775295,35.723675
1326,PMEGX,T. Rowe Price Institutional Mid-Cap Equity Growth Fund,58.0,0.21,0.12,63.56,39.94,53.11765,56.905075
1327,RPBAX,T. Rowe Price Balanced Fund,23.79,0.08,0.02,25.74,19.18,22.725294,23.76875
1328,JTSSX,JPMorgan SmartRetirement 2050 Fund Class I,18.77,-0.11,-0.02,22.46,14.42,17.769411,19.583603
1329,AASCX,Thrivent Mid Cap Stock Fund Class A,21.51,-0.69,-0.15,25.25,14.98,19.435295,21.884338
1330,EGFFX,Edgewood Growth Fund Retail Class,40.23,0.83,0.330002,40.2,27.68,37.12706,36.105515
1331,ABSZX,AB Discovery Value Fund Class Z,15.01,-2.34,-0.36,20.27,10.5,13.619118,16.778234
1332,AOVIX,American Century Investments One Choice Portfolio: Very Aggressive Investor Class,16.46,0.0,0.0,19.47,12.08,15.350294,16.780294
1333,VINIX,Vanguard Institutional Index Fund Institutional Shares,271.13,-0.2,-0.53,304.96,201.91,256.23117,271.30258
1334,LSCRX,Loomis Sayles Small Capital Value Fund Retail Class,21.38,-2.29,-0.5,29.73,15.44,19.458529,23.880367
